Frame 105, Sign 0: Detected Bounding Box [849, 1059, 921, 1143, 0.3376161456108093, 11.0], Predicted Label 11
Frame 110, Sign 0: Detected Bounding Box [866, 1040, 943, 1125, 0.3121514320373535, 11.0], Predicted Label 12
Frame 120, Sign 0: Detected Bounding Box [886, 1005, 971, 1101, 0.33496174216270447, 11.0], Predicted Label 32
Frame 165, Sign 0: Detected Bounding Box [985, 1069, 1075, 1203, 0.2698778808116913, 11.0], Predicted Label 32
Frame 169, Sign 0: Detected Bounding Box [895, 1068, 984, 1202, 0.768519937992096, 11.0], Predicted Label 32
Frame 171, Sign 0: Detected Bounding Box [846, 1066, 939, 1202, 0.6545109152793884, 11.0], Predicted Label 32
Frame 175, Sign 0: Detected Bounding Box [742, 1064, 840, 1204, 0.6970863938331604, 11.0], Predicted Label 32
Frame 177, Sign 0: Detected Bounding Box [685, 1062, 787, 1205, 0.5669836401939392, 11.0], Predicted Label 32
Frame 179, Sign 0: Detected Bounding Box [629, 1058, 731, 1204, 0.6085714101791382, 11.0], Predicted Label 32
Frame 182, Sign 0: Detected Bounding Box [540, 1054, 646, 1204, 0.589310348033905, 11.0], Predicted Label 32
Frame 185, Sign 0: Detected Bounding Box [444, 1040, 558, 1205, 0.7169530987739563, 11.0], Predicted Label 32
Frame 187, Sign 0: Detected Bounding Box [380, 1039, 495, 1206, 0.5579462647438049, 11.0], Predicted Label 32
Frame 191, Sign 0: Detected Bounding Box [242, 1023, 366, 1204, 0.815750002861023, 11.0], Predicted Label 30
Frame 193, Sign 0: Detected Bounding Box [170, 1015, 299, 1203, 0.7324317693710327, 11.0], Predicted Label 32
Frame 197, Sign 0: Detected Bounding Box [10, 1000, 152, 1201, 0.7105782628059387, 11.0], Predicted Label 32
Frame 205, Sign 0: Detected Bounding Box [818, 1230, 868, 1278, 0.320568710565567, 11.0], Predicted Label 1
